PlasmoDB geneID,Early troph._mRNArpkM,Late troph._mRNArpkM
pf14_0487,163.4316711,118.4195508
pf10_0177b,84.86754022,64.15710107
pf13_0219,63.0511769,23.21379994
pf14_0512,44.56890472,25.73306929
pf13_0286,149.8892132,66.79287401
pf07_0106,65.1722059,21.36723298
pf08_0042,53.20428626,27.62478506
pf14_0274,64.99855161,28.23124881
pfc0600w,NULL,NULL
pfl1225c,69.80181968,NULL
pfl0045c,369.3403059,65.68106891
pf07_0097,58.48108487,35.76002141
pf13_0073,506.4608079,NULL
pfl1800w,58.58018727,27.44146349
pfl0175c,33.83622215,47.74434079
pf14_0550,125.4324686,62.10206354
pf14_0201,1116.25342,769.0600104
pfl1375w,25.44111621,16.94919657
pf14_0183b,78.89289008,55.80652482
pf14_0563,83.69760836,99.44194913
pfl2295w,155.2956547,90.90869191
pfl2310w,182.3336,113.2545372
pfe1435c,135.5354764,67.14298252
pf11_0143,35.07583259,22.98817724
mal13p1.272,186.0907768,76.58836678
pff1030w,122.5593602,49.2987719
pfd0455w,225.2592807,154.5816244
pfd0545w,195.1600604,18.22435548
pfb0655c,77.26969262,42.65171696
pf13_0275,1070.181736,80.06834663
pfd1175w,107.2265213,NULL
pf14_0603,100.6451464,51.94905611
pfl2480w,38.38399965,32.07013825
pf08_0065,139.4971234,68.18500648
pf14_0193,79.26092456,49.91615468
pf10_0215a,82.18230204,44.00976948
pff1355w,138.8696195,95.25420766
pfd0345c,40.68381611,NULL
pfd0180c,99.01055077,78.06971578
pfl1175w,89.40080394,39.43491427
pf14_0145,73.25692265,35.16482641
pfb0865w,267.4377228,204.2395782
pf07_0121,133.8104882,69.10846514
pfi0370c,482.92792,397.3031368
pfc0365w,133.1959311,102.6454518
pfc0605w,60.3612675,50.28657675
pf13_0293,67.21348247,40.8824987
pf10_0085,427.5590601,204.3380069
mal13p1.222,78.07847946,41.092503
pf08_0026,78.11895286,71.38333285
pf14_0239,208.0390425,39.03624998
pf13_0213,1703.124421,1285.862472
pfd0360w,236.0851467,89.48927226
pf11_0368a,212.1888451,NULL
pf10_0361,201.8867921,174.9997885
mal7p1.112,12.56763032,18.39210797
pfd0970c,39.01048405,32.91229281
pfl1170w,615.7520508,501.9146543
pfc0425w,44.09568046,26.87527681
pfd1170c,730.1667947,482.3006907
pfl0135w,60.55786431,28.39780109
pfc0970w,45.95696907,67.15313141
pf11_0349,25.69224227,45.76854137
pfl1760w,44.05677035,54.60343954
pf14_0277,66.39298584,84.7085233
pfb0410c,34.6956085,64.51383826
pf11_0206,28.82573578,34.48304856
pf14_0127,53.04230675,102.5855158
pf14_0185,38.02636568,26.66406939
pfi0105c,85.0255568,42.44977384
pf08_0127,56.93206973,42.84071304
pf10_0115,349.6838774,214.7441353
pf10_0179,116.1543377,65.78540788
pfe1470w,136.1702968,83.56396806
pf13_0203,767.5902916,391.1528773
